Î» (nm)	photon flux (Î³/s/cm^2/nm)
926.50	397913537177944.38
927.50	397520942931518.00
928.50	397126576017514.81
929.50	396702410559677.19
930.50	396254368109282.44
931.50	395804445307163.19
932.50	395352642153319.50
933.50	394898958647751.31
934.50	394453070248121.44
935.50	394005322204006.56
936.50	393555714515406.75
937.50	393104247182322.06
938.50	392678350759208.25
939.50	392290168444594.56
940.50	391900269061503.06
941.50	391508652609933.62
942.50	391115319089886.56
943.50	390805158668685.50
944.50	390514706161618.12
945.50	390222761520273.75
946.50	389929324744652.12
947.50	389616692875473.62
948.50	389202108859824.25
949.50	388785783591737.06
950.50	388367717071212.38
951.50	387947909298249.94
952.50	387526360272849.94
953.50	387179294195179.50
954.50	386854742792759.62
955.50	386528660510215.06
956.50	386201047347546.00
957.50	385881755691901.44
958.50	385660676357001.12
959.50	385438294801962.25
960.50	385214611026784.75
961.50	384989625031468.50
962.50	384781215969586.12
963.50	384599535723368.06
964.50	384416648517236.94
965.50	384232554351192.81
966.50	384047253225235.44
967.50	383845812284143.81
968.50	383635770923740.19
969.50	383424476530361.56
970.50	383211929104008.19
971.50	382998128644680.00
972.50	382717231715930.56
973.50	382429214939907.06
974.50	382139797945402.06
975.50	381848980732415.44
976.50	381546288239511.12
977.50	381182754605174.94
978.50	380817677723697.94
979.50	380451057595080.06
980.50	380082894219321.19
981.50	379706021428904.69
982.50	379314268632603.06
983.50	378920930867786.25
984.50	378526008134454.56
985.50	378129500432607.94
986.50	377720325558219.25
987.50	377299303151081.19
988.50	376876652568269.88
989.50	376452373809785.25
990.50	376026466875627.38
991.50	375594026858921.50
992.50	375157638253180.56
993.50	374719606921895.75
994.50	374279932865067.06
995.50	373838616082694.69
996.50	373432958567198.62
997.50	373035068048531.62
998.50	372635628386840.81
999.50	372234639582125.88
1000.50	371832101634386.94
1001.50	371478875060071.69
1002.50	371129236095006.81
1003.50	370778159600851.75
1004.50	370425645577606.75
1005.50	370071694025271.75
1006.50	369782371321233.62
1007.50	369492410367716.75
1008.50	369201144490603.25
1009.50	368908573689893.06
1010.50	368612857412510.12
1011.50	368280827453097.69
1012.50	367947419712965.44
1013.50	367612634192113.19
